feature,importance
src_bytes,0.143524345766575
flag_SF,0.09294478546283683
dst_bytes,0.07735087504465717
dst_host_same_srv_rate,0.05471284984760847
same_srv_rate,0.05109607325718281
dst_host_srv_count,0.04982932068285088
logged_in,0.04931547536084091
diff_srv_rate,0.044635620293337286
dst_host_srv_serror_rate,0.0395368573011644
srv_serror_rate,0.03216332734162507
count,0.027815519909840724
protocol_type_icmp,0.027306979540275788
dst_host_diff_srv_rate,0.025114323314688786
dst_host_same_src_port_rate,0.023743262680544656
serror_rate,0.02271183937621369
dst_host_srv_diff_host_rate,0.020734535867792128
dst_host_count,0.018373341901576634
service_http,0.017864077157290485
service_private,0.016448999871443423
flag_S0,0.014785752724053289
dst_host_serror_rate,0.014303516617863572
service_ecr_i,0.013576099878437413
srv_count,0.013471619589100823
dst_host_srv_rerror_rate,0.012959142707286795
dst_host_rerror_rate,0.012134700404907337
protocol_type_tcp,0.010802850874496062
service_eco_i,0.009531752687033991
hot,0.008049545733948204
srv_rerror_rate,0.0071091878292695145
num_compromised,0.005708962344812036
rerror_rate,0.005302433712918511
srv_diff_host_rate,0.004638227876176459
service_ftp_data,0.004281039644974894
service_domain_u,0.004219501745250031
protocol_type_udp,0.003679458153493576
duration,0.003146337554839178
wrong_fragment,0.0031231743637007933
flag_REJ,0.0028100544644094737
flag_RSTR,0.0020518281118392444
service_other,0.001558185720783947
service_urp_i,0.0011783632817671881
is_guest_login,0.0009032229689264725
service_ftp,0.0007798355636035317
service_smtp,0.0006857820088429343
service_telnet,0.0006070457338426148
flag_S1,0.00048020166436550367
service_finger,0.00047918847759482905
num_root,0.0002968953059654597
flag_RSTO,0.0002573763045175445
service_IRC,0.0001908082677321308
service_auth,0.00016880535960591596
num_failed_logins,0.00016063591664082093
num_file_creations,0.0001574063257373459
root_shell,9.670290956071158e-05
flag_SH,9.05276132586022e-05
service_X11,8.8448181573211e-05
service_time,8.049599285683834e-05
num_access_files,7.1664133687171e-05
flag_S2,5.946187402929142e-05
num_shells,5.2067055561512695e-05
service_ntp_u,4.667312116866107e-05
service_gopher,4.5789566516201055e-05
service_uucp,4.5676482431493985e-05
service_pm_dump,3.988763875075503e-05
service_imap4,3.8442760169295304e-05
flag_OTH,3.458671921498935e-05
su_attempted,3.413620787496357e-05
service_uucp_path,3.2993347601565086e-05
flag_RSTOS0,2.7408327776370864e-05
service_tftp_u,2.6501271090312066e-05
urgent,2.5528226298249647e-05
service_ssh,2.4899903987264876e-05
service_pop_3,2.3983619902690548e-05
service_login,2.3552143605397533e-05
land,2.0261406964700828e-05
service_domain,1.7037871221755678e-05
service_urh_i,1.6117897778114093e-05
service_tim_i,1.4528686205727408e-05
service_pop_2,1.4064448590495023e-05
service_nntp,1.3599947895939929e-05
service_red_i,1.160960838740688e-05
service_whois,8.491100847714144e-06
service_name,8.334284823769269e-06
flag_S3,8.304848959130843e-06
service_discard,7.360824156906032e-06
service_daytime,5.996166157576139e-06
service_echo,4.420687471405729e-06
service_ctf,3.8103560656797174e-06
service_remote_job,3.320652538847195e-06
service_shell,2.7028020749495005e-06
service_mtp,2.5871016430173806e-06
service_printer,2.3377477537058232e-06
service_rje,2.2354760817031496e-06
service_systat,1.6988008622248408e-06
service_ldap,1.6472316685275912e-06
service_klogin,1.5504529133014815e-06
service_netstat,1.271860131724028e-06
service_sunrpc,9.213993690868729e-07
service_iso_tsap,7.891854265629584e-07
service_link,7.323976403114848e-07
service_netbios_ns,5.634847446520926e-07
service_exec,5.356129365918665e-07
service_bgp,5.297946665312353e-07
service_efs,5.236079392986051e-07
service_sql_net,4.448689633452148e-07
service_csnet_ns,3.9029397616762645e-07
service_supdup,1.7037448990031163e-07
service_courier,1.3127974906805246e-07
service_nnsp,7.348790429405392e-08
service_netbios_ssn,5.2917699422773974e-08
is_host_login,3.3215141578298767e-08
service_Z39_50,2.4749068078327113e-08
service_hostnames,1.0201257815411084e-08
service_http_443,1.8919681781873265e-09
service_netbios_dgm,1.6071591536000898e-09
service_vmnet,1.5549601719301965e-09
service_kshell,8.19747540021771e-10
num_outbound_cmds,0.0
service_aol,0.0
service_http_8001,0.0
service_http_2784,0.0
service_harvest,0.0
